C1:1
C10:1
C11:1
C12:1
C13:1
C14:1
C16:1
C17:1
C18:1
C2:1
C20:1
C21:1
C22:1
C23:1
C24:1
C25:1
C26:1
C27:1
C28:1
C29:1
C3:1
C30:1
C31:1
C32:1
C33:1
C34:1
C35:1
C36:1
C37:1
C38:1
C39:1
C4:1
C40:1
C50:1
C51:1
C52:1
C54:1
C55:1
C56:1
C7:1
C8:1
C9:1
FB1:1
FB2:1
FB3:1
FB4:1
FB5:1
G***:15
J5:1
J6:1
J7:1
P2:1
R1:1
R10:1
R11:1
R12:1
R13:1
R14:1
R15:1
R16:1
R17:1
R18:1
R19:1
R2:1
R3:1
R4:1
R5:1
R6:1
R7:1
R8:1
U1:1
U2:1
U3:1
U4:1
U5:1
U7:1
Y1:1
